-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2019 through 12/31/2020 
Location: Latitude  38.8762   Longitude -77.028 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 83.32 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
WS2M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 2 Meters (m/s) 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
WS2M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 2 Meters (m/s) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
WS2M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 2 Meters (m/s) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,WS2M_RANGE,T2M_MIN,WS2M,WS10M_RANGE,T2M,T2MDEW,T2MWET,T2M_MAX,WS2M_MIN,ALLSKY_SFC_SW_DWN,T2M_RANGE,PS,WS2M_MAX,PRECTOT,RH2M
38.87621,-77.02799,2019,060,    1.46,   -0.10,    1.82,    2.26,    0.89,   -0.21,   -0.16,    2.58,    1.05,              3.16,    2.68,  101.21,    2.51,   17.01,   92.52
38.87621,-77.02799,2019,061,    0.86,   -1.52,    1.34,    1.24,    2.44,    0.89,    0.86,    7.00,    0.95,              8.57,    8.52,  100.87,    1.81,    0.36,   89.61
38.87621,-77.02799,2019,062,    1.29,   -1.25,    1.60,    1.78,    1.18,    0.05,    0.06,    3.45,    1.03,              2.84,    4.70,  100.63,    2.32,   13.30,   92.37
38.87621,-77.02799,2019,063,    2.54,   -6.42,    2.61,    3.80,   -1.03,   -3.28,   -3.31,    2.30,    1.36,             15.49,    8.71,  100.37,    3.90,    0.39,   84.79
38.87621,-77.02799,2019,064,    2.18,   -7.16,    1.84,    4.10,   -2.38,   -6.39,   -6.25,    3.24,    1.03,             18.47,   10.40,  100.82,    3.22,    0.00,   73.85
38.87621,-77.02799,2019,065,    2.48,   -6.74,    2.86,    4.01,   -4.67,   -9.94,   -9.30,   -2.00,    1.16,             18.46,    4.73,  101.46,    3.64,    0.00,   66.48
38.87621,-77.02799,2019,066,    2.30,   -6.98,    1.58,    3.81,   -1.67,   -5.48,   -5.43,    3.17,    0.68,             17.85,   10.16,  101.72,    2.98,    0.00,   75.15
38.87621,-77.02799,2019,067,    1.81,   -2.26,    1.13,    2.88,    0.31,   -1.03,   -1.06,    3.51,    0.28,              5.75,    5.76,  101.61,    2.09,    3.64,   90.85
38.87621,-77.02799,2019,068,    2.26,   -0.67,    1.21,    3.86,    2.27,    0.93,    0.95,    6.00,    0.39,              4.90,    6.67,  101.43,    2.65,    1.06,   91.06
38.87621,-77.02799,2019,069,    2.03,    1.90,    1.77,    3.44,    7.67,    7.32,    6.85,   14.99,    0.98,             12.03,   13.09,  100.61,    3.01,    9.53,   97.76
38.87621,-77.02799,2019,070,    1.56,    3.60,    2.01,    1.99,    8.02,    4.35,    4.31,   13.14,    1.37,              7.00,    9.54,  101.10,    2.93,    0.00,   77.54
38.87621,-77.02799,2019,071,    1.86,   -1.16,    1.85,    2.80,    3.72,   -0.74,   -0.79,    9.22,    1.01,             19.77,   10.38,  101.56,    2.86,    0.00,   72.44
38.87621,-77.02799,2019,072,    1.49,   -0.79,    1.61,    2.61,    6.04,    2.70,    2.33,   12.34,    1.03,             19.08,   13.13,  101.55,    2.52,    0.00,   79.08
